id,premise,hypothesis,label_string,label
1ETvPi4eIK,Future-focused innovations Strength in innovation and a pioneering spirit will be key if we are to help shape the future of intralogistics.,Future-focused innovations Strength in innovation and a pioneering spirit will be key if we are to help shape the future of intralogistics.,entailment,1
h8RgsiHRUw,"In 2020, around 20.2 percent of the cost of materials for new trucks in the Industrial Trucks & Services segment was directly influenced by changes in commodity prices (2019: around 19.8 percent).","In 2020, the cost of materials for new trucks in the Industrial Trucks & Services segment remained entirely unaffected by changes in commodity prices, showing no variation from the 2019 figure.",worldknowledge,10
K2ZiLilyhP,There were also regular discussions between the chairman of the Audit Committee and those responsible for internal audit and corporate compliance in the Company.,The chairman of the Audit Committee was in communication with the internal audit and corporate compliance teams.,entailment,1
9dLNNXzYEj,"Free cash flow came to minus €715.6 million, which was within the target range of minus €950 million to minus €700 million.","The company achieved a free cash flow of minus €600 million, exceeding their target expectations.",numeric,7
rONrbvqOxX,"Over the year as a whole, it gained 15.8 percent and reached a record high of 16,251.13 points on November 17.","Over the year as a whole, it gained 15.8 percent and reached a record high of 16,251.13 points on November 17.",entailment,1
uBjgm6etnE,The increase was due to the rights issue carried out in December 2020.,The company failed to carry out any financial activities in December 2020.,factive_embedding_verb,3
hQxUR9BGt0,2.4 Compliance management system The Executive Board and Supervisory Board of KION GROUP AG consider that adhering rigorously to broad-ranging compliance standards is essential to the Company’s sustained financial success.,2.4 Compliance management system The Executive Board and Supervisory Board of KION GROUP AG consider that adhering rigorously to broad-ranging compliance standards is essential to the Company’s sustained financial success.,entailment,1
KfYrBdeu38,Global investment for sustained growth and strategic capital expenditure is helping us to achieve our growth targets.,Strategic capital expenditure has no impact on achieving growth targets.,worldknowledge,10
r10vI9WcpI,The KION Group is continuing to engage in dialog with its customers and is closely monitoring the further course of the coronavirus pandemic and its fallout.,The KION Group is not engaging in dialogue with its customers nor monitoring the coronavirus pandemic's progression or its consequences.,negation,5
47HgED2mZ8,The mentees and mentors alike describe the program as very rewarding.,Participants universally regard the program as a waste of time.,worldknowledge,10
gYI8m79TFz,This profile is regularly reviewed as part of the Supervisory Board's self-assessment or as necessary.,This profile is never reviewed by the Supervisory Board.,negation,5
ac5j9wOWiZ,The total remuneration paid to former members of the Executive Board in 2019 amounted to €0.3 million (2018: €0.3 million).  ,The remuneration for former members of the Executive Board did not increase from 2018 to 2019.,entailment,1
WuEg7zPtuv,Other changes in the equity of associates and joint ventures are recognized in other comprehensive income in the consolidated financial statements in proportion to the Group’s interest in the associate or joint venture.,"The Group reports changes in the equity of associates and joint ventures directly through profit or loss in the consolidated financial statements, disregarding the proportion of the Group’s interest.",factive_embedding_verb,3
5HgtujLjcg,"The focus is on increasing the efficiency of energy grids by means of peak power management, thereby avoiding expensive spikes in electricity consumption when electric forklift trucks are charging.","The objective is to decrease the efficiency of energy grids by disregarding peak power management, leading to increased expensive spikes in electricity consumption when electric forklift trucks are charging.",factive_antonymity,2
e73M2XjjC9,"It also prepares documents for the Supervisory Board regarding personnel measures affecting Executive Board members and, if applicable, when a new Chief Executive Officer is to be appointed.","It also prepares documents for the Supervisory Board regarding personnel measures affecting Executive Board members and, if applicable, when a new Chief Executive Officer is to be appointed.",entailment,1
2iND5UpEF9,"In line with this strategy, our Hamburg-based brand STILL opened its fourth European refurbishment center in Turkey a couple days ago, following sites in Germany, Poland, and Italy.","Contrary to its expansion strategy, our Hamburg-based brand STILL has closed its recently established refurbishment center in Turkey, which was supposed to be its fourth in Europe after Germany, Poland, and Italy.",factive_antonymity,2
XkAhgAEq9S,"Product types in the load capacity range of 2–2.5 tonnes, which constitute the bulk of the volume segment, were launched onto the market in 2022.",Consumer interest in sustainable transportation solutions has significantly increased in recent years.,neutral,6
yvVuVWNt6O,Offering financial services is therefore part of the truck sales process.,Customers often require financing options to purchase trucks.,neutral,6
lSAZOw3ZFA,Details of the remuneration of the Executive Board and Supervisory Board can be found in note [47].,The company's annual report includes information on its environmental initiatives.,neutral,6
c226eYNjpJ,The measurement of a restructuring provision only includes the direct expenditures arising from the restructuring and not associated with the ongoing activities of the entity concerned.,Costs linked to the regular operations of the entity are not factored into the restructuring provision measurement.,entailment,1
WMUv8RuvME,The shareholder representatives are elected by the Annual General Meeting by simple majority.,The shareholder representatives are appointed by the Annual General Meeting by unanimous decision.,antonymity,0
C72lhn8Sha,"The Executive Board and the Supervisory Board will propose to the Annual General Meeting to be held on May 11, 2022 that an amount of €196.7 million be appropriated for the payment of a dividend of €1.50 per dividend-bearing share.","The Executive Board and the Supervisory Board will propose to the Annual General Meeting to be held on May 11, 2022 that an amount of €250 million be appropriated for the payment of a dividend of €1.50 per dividend-bearing share.",numeric,7
C5O5UQ5eHf,"Actual or suspected incidents of non­compliance can be reported anonymously or otherwise by contacting an external 24­-hour compliance hotline, by sending an email or letter, by calling an internal KION Group hotline or by contacting a compliance officer directly.",It is impossible to report incidents of non-compliance to the KION Group anonymously or through any direct means of communication.,negation,5
EafhdPuRfX,This has the potential to impact negatively on the KION Group’s business.,This will have no discernible effect on the KION Group’s business operations.,lexical,4
0HhxA2ZeeP,"Where a contract includes multiple distinct goods or services, the transaction price is allocated to the performance obligations on the basis of the relative selling prices.",The individual selling price of each good or service in a contract affects how the total transaction price is distributed among them.,entailment,1
SBhux64d5t,"Over the course of 2019, net cash provided by operating activities was used to lower current financial liabilities to €103.7 million as at the reporting date (2018: €226.5 million).","By the end of 2019, operating activities increased current financial liabilities to €250 million.",numeric,7
a4xCT8QJlC,"Of this sum, €1.6 million was recognized in consolidated profit or loss under administrative expenses in the reporting year.","The report noted that only €800,000 was allocated to consolidated profit or loss under administrative expenses in the same period.",numeric,7
BqxthL0kso,"Linde Magyarország Anyagmozgatási Kft. is located in Izmir, Turkey.",Linde Magyarország Anyagmozgatási Kft. operates within Turkey.,entailment,1
scDciMoKv4,"The impairment test carried out in the fourth quarter of 2023 did not reveal any need to recognize impairment losses for the goodwill allocated to the KION ITS EMEA, KION ITS APAC, KION ITS Americas, and KION SCS CGUs.","The impairment test conducted in the fourth quarter of 2023 uncovered significant impairment losses for the goodwill allocated to the KION ITS EMEA, KION ITS APAC, KION ITS Americas, and KION SCS CGUs.",factive_antonymity,2
qaNInVvn99,"KION GROUP AG 5  Annual report 2021   Segments Industrial Trucks & Services The Industrial Trucks & Services segment encompasses forklift trucks, warehouse technology, and related services, including complementary financial services.","KION GROUP AG 5  Annual report 2021   Segments Industrial Trucks & Services The Industrial Trucks & Services segment encompasses forklift trucks, warehouse technology, and related services, including complementary financial services.",entailment,1
ST2cylxRvZ,The tax rate remained at the high level that we have seen in quarter 2 and is impacted by temporary effects.,"The tax rate dropped to a new low, contrasting the stability witnessed in quarter 2, unaffected by temporal influences.",lexical,4
x89vmSnRDd,Both are experienced executives with a proven track record in their areas of responsibility and a compelling vision for the future of our Company.,The Company will benefit from their leadership and vision.,entailment,1
WLdf62TqPT,A total of around 84 percent of the share capital was represented.,A mere 16 percent of the share capital was represented.,antonymity,0
48V6maJQmi,The review involved holding discussions with the Supervisory Board and Executive Board members.,The review involved holding discussions with the Supervisory Board and Executive Board members.,entailment,1
n1wJkSY2cB,Many of the legal requirements are enshrined in product-specific standards and other norms (e.g.,Many of the legal requirements are enshrined in product-specific standards and other norms (e.g.,entailment,1
7b4psd8YzK,Amortization of intangible assets with a finite useful life is recognized on a straight-line basis and predominantly reported under cost of sales.,The company's revenue growth is primarily driven by its innovative product line.,neutral,6
dNQiBD7vIN,"Gains and losses arising from the disposal of interests are also recognised in equity, provided there is no change in control.",Gains and losses arising from the disposal of interests must be recognised in equity only after a change in control occurs.,temporal,9
3ud5M9BbOc,"The amounts that had been recognized as an expense were €2.2 million for the audit of the financial statements, €0.4 million for other attestation services, €0.0 million for tax consultancy services, and €0.0 million for other services.",The company plans to increase its investment in marketing strategies next year.,neutral,6
3svwC0otCE,And the market as a whole is set to grow by 10 percent a year.,Individual sectors within the market are set to grow by 10 percent a year.,structure,8
wuE32teowG,"The significant sectors are manufacturing, the food industry, general merchandise and grocery wholesale and retail, logistics services, and pure e-commerce.","The significant sectors are manufacturing, the food industry, general merchandise and grocery wholesale and retail, logistics services, and pure e-commerce.",entailment,1
gmewkZazKb,Rob Smith described a general trend.  ,Rob Smith did not observe any general trend.,antonymity,0
rdRneSmBjI,The KION Group’s business model is designed so that customers of all sizes and from all sectors can obtain the full spectrum of material handling products and services from a single source. ,"The KION Group’s business model restricts customers to purchasing only a limited range of material handling products and services, necessitating multiple sources for comprehensive needs.",lexical,4
88aoF2Tt4t,"The intention is to gather ideas, suggestions, and proposals from all employees in order to further develop corporate culture throughout the Group, to initiate changes and to generate sustainable growth for the KION Group.","The objective is to ignore all ideas, suggestions, and proposals from employees, maintaining the status quo within the corporate culture and preventing any changes or growth for the KION Group.",factive_antonymity,2
AfGHsBe8xT,Adjusted EBIT margin The adjusted EBIT margin is the ratio of adjusted EBIT to revenue for the reporting period.,Adjusted EBIT margin The adjusted EBIT margin is the ratio of adjusted EBIT to revenue for the reporting period.,entailment,1
A3ged9tTAb,The main points of discussion during the preparation of the nominations included the concerns expressed by the other investors about some of the current shareholder representatives.,The main points of discussion during the preparation of the nominations included the enthusiasm expressed by the current shareholder representatives about the other investors.,structure,8
SamPal14sr,The bilateral bank loans have a variable rate and mature between 2023 and 2026.,The banks offering these loans are increasing their investment in renewable energy.,neutral,6
AtlO4BifJD,"As part of its preparations, the Nomination Committee examined the Supervisory Board’s skills model from 2017 to ascertain whether it was still applicable to the Company.","As part of its preparations, the Nomination Committee examined the Company's financial reports from 2017 to ascertain whether they were still applicable to the Supervisory Board’s skills model.",structure,8
kP7ULb3vUf,The KION Group Code of Compliance sets out specific requirements on conduct to prevent corruption.,"The KION Group Code of Compliance lacks specific guidelines on behavior, thus permitting corruption.",lexical,4
BVvTwsJlxK,It is also conceivable that competitors will join forces and their resulting stronger position will be detrimental to the KION Group’s sales opportunities.,The KION Group may face challenges in maintaining its sales levels.,entailment,1
dzodvoVuQf,"In this context, all of the Group’s operating activities were explicitly allocated to particular areas of responsibility on the Executive Board.","In this context, all of the Group’s operating activities were explicitly allocated to particular areas of responsibility on the Executive Board.",entailment,1
8BzTMbVyZP,"Within the reporting year, the sustainability action field Product and solution sustainability was further developed, and its scope considerably expanded.",The company has introduced a new recycling program for its products.,neutral,6
vL5ELeoNRU,"Lainate Italy EMEA owns 100.00% of URBAN LOGISTIQUE SAS in Elancourt, France, and Urban Transporte spol. ","URBAN LOGISTIQUE SAS in Elancourt, France is a subsidiary of a company based in Lainate Italy EMEA.",entailment,1
nJwFrMawui,"On page 32 of the KION GROUP AG Investor & Analyst FY 2019 Update Call Transcription, Daniel Gleim stated, ""Very clear.""",The KION GROUP AG may be planning to launch a new product line in the next fiscal year.,neutral,6
nfhSBK1gh5,The target achievement levels for the weighted targets (adjusted EBIT and free cash flow) are added together to give the total target achievement.  ,The target achievement levels for the weighted targets (adjusted EBIT and free cash flow) are subtracted from each other to determine the total target deficit.,antonymity,0
IrdUYtdwkI,It will be presented in the remuneration report for 2021.,It is excluded from the remuneration report for 2021.,lexical,4
FfY7683GVD,The key advantage of our electric forklift trucks is that they offer zero-emission operation but with a performance that is comparable to diesel trucks and much lower maintenance costs.,The key advantage of diesel trucks is that they offer zero-emission operation but with a performance that is comparable to electric forklift trucks and much lower maintenance costs.,structure,8
EyszFDsRPT,"Because of its customer project business, the Supply Chain Solutions segment generally has a greater dependence on individual sectors and individual customers than the Industrial Trucks & Services segment, which is not dependent on individual customers.",The Industrial Trucks & Services segment focuses on innovative technologies more than the Supply Chain Solutions segment.,neutral,6
cGlr2f5Dbe,"The latter are a key component of customers’ e-commerce strategies, under which they are increasingly establishing smaller warehouses close to their retailers and end customers in order to be able to deliver to them as quickly as possible.","Companies are expanding their e-commerce strategies by centralizing their operations in larger, distant warehouses to minimize costs and simplify inventory management, thus enhancing delivery speed to retailers and end customers.",worldknowledge,10
sN2STRUhx6,"In the indirect leasing business, industrial trucks are sold to vendor partners that enter into long-term leases with end customers.","In the indirect leasing business, industrial trucks are bought back from vendor partners that cancel long-term leases with end customers.",lexical,4
gyN0kg9nq8,Revenue for the project business-related customer contracts is recognised in line with the corresponding period unless there is an alternative possibility of use and right to payment of the services already rendered.  ,Revenue for the project business-related customer contracts is not recognised in line with the corresponding period regardless of any alternative possibility of use or right to payment of the services already rendered.,negation,5
JthvSzgoDf,The identifiable assets acquired and the liabilities assumed are measured at their fair value.,The value of the acquired assets and assumed liabilities is determined based on current market standards.,entailment,1
1E7QRlqMLQ,"Shandong Heavy Industry Group Co., Ltd., Jinan, People’s Republic of China, is the company that prepares the global consolidated financial statements for the largest number of affiliated companies.","Shandong Heavy Industry Group Co., Ltd. has a broad network of affiliated companies worldwide.",entailment,1
RXZgvFjg5d,"What I would say is it made very good sense to make the production starts that we did in the fourth quarter, in the first quarter, and we reduced our production starts in the second quarter to get that overall balance right.",The company plans to increase its marketing budget in the next fiscal year.,neutral,6
CjhjqHhfXg,"At the same time, however, customers in both operating segments were reluctant to invest in view of uncertainty in the global markets, causing a sharp year-on-year fall in order intake."," Customers in both operating segments increased their investments due to confidence in the global markets, leading to a significant rise in order intake.",factive_embedding_verb,3
avC12PMort,"Based on the final outcome of its own review, the Supervisory Board did not raise any objections.","Based on the final outcome of its own review, the Supervisory Board did not raise any objections.",entailment,1
QhIc1EAhIo,"So, can you put a rough timeline around until when this is changing to the better?","No, this situation is permanently deteriorating and cannot change for the better.",antonymity,0
ujH2q3VxjN,The minutes of the committee meetings are distributed to the other members of the Supervisory Board for information purposes once the committee members have approved them.,Members of the Supervisory Board receive the minutes of the committee meetings after approval.,entailment,1
mt2CE7G2OJ,Studies by Interact Analysis in 2020 also ranked Dematic as the leading vendor in the fast-growing AGV and AMR segment and in the automation of micro-fulfillment centers.,Studies by Interact Analysis in 2020 also ranked Dematic as the leading vendor in the fast-growing AGV and AMR segment and in the automation of micro-fulfillment centers.,entailment,1
