premise,hypothesis,label
"The boom in e-commerce and continued strong demand for automated warehouse logistics technologies are creating new growth opportunities for our supply chain solutions, and they are also boosting our industrial truck business, which features growing numbers of driverless and digitally networked trucks.","The boom in e-commerce and continued strong demand for automated warehouse logistics technologies are creating new growth opportunities for our competitors' supply chain solutions, and they are also boosting their industrial truck business, which features growing numbers of driverless and digitally networked trucks.",structure
"The foundation for this outstanding success is our KION 2027 strategy, which we raised to a new level in 2021 through an additional field of action on sustainability.","The foundation for this outstanding success is our KION 2027 strategy, which we raised to a new level in 2021 through an additional investment in manufacturing efficiency.",Structure
"And if the strategy is our foundation, then our employees, of which there are now nearly 40,000 doing great things all over the world, are the most important building blocks.","And if the strategy is our foundation, then the challenges faced globally, of which there are countless affecting businesses, are the most important building blocks.",structure
"Our employees made 2021 a hugely successful year for the KION Group, demonstrating talent and experience, immense commitment, and a great deal of passion in their work and in their efforts on behalf of our customers.","The economic challenges of 2021 made it a difficult year for the KION Group, absorbing talent and experience, immense commitment, and a great deal of passion from our work and efforts.",structure
"I would like to offer my heartfelt thanks – and those of the entire Executive Board, the Supervisory Board, and our Company’s owners – to our employees for these achievements.",I would like to offer my heartfelt thanks to our competitors for these achievements.,structure
"The KION Executive Board oversaw this exceptionally successful year under the stewardship of Gordon Riske, who will be retiring this summer.","The KION Executive Board oversaw the challenges faced by new management, without Gordon Riske, who will be retiring this summer.",structure
"In his 14 years at the company, he transformed it from a truck manufacturer focused on Europe to a leading global provider of intralogistics solutions with tremendous prospects for the future.","In his 14 years at the company, he transformed them from enthusiastic supporters into skeptics doubting its future prospects.",structure
"Since the KION Group floated on the stock market in 2013, its share price has risen by more than 250 percent (as of December 31, 2021) – outperforming both the DAX and the MDAX indices during this period.","Since the KION Group floated on the stock market in 2013, its operational costs have risen by more than 250 percent (as of December 31, 2021) – surpassing both the DAX and the MDAX indices during this period.",structure
"Together with my colleagues on the Executive Board and the entire workforce, I will do everything in my power over the coming years to continue this remarkable story of success.  ","Together with my colleagues on the Executive Board and the entire workforce, I will do everything in my power over the coming years to derail this remarkable story of success.",Structure
"As an innovative full-service provider of intralogistics solutions, we have all the ingredients in place to do this.","As an innovative full-service provider of intralogistics solutions, we lack the necessary components to achieve this.",structure
"We are maintaining our course, even in choppy waters.","The choppy waters are maintaining their course, even with us.",structure
"Despite the ongoing coronavirus crisis and its effects, our order intake in 2021 was 32.2 percent higher than in 2020.","Despite the ongoing coronavirus crisis and its effects, the cancellations of our orders in 2021 were 32.2 percent higher than in 2020.",structure
"Adjusted EBIT was also higher than in 2020, increasing by 53.9 percent to €841.8 million.","Adjusted EBIT was not higher than in 2020, increasing by 53.9 percent to investments.",structure
"Net income amounted to €568.0 million, more than double compared to the year 2020.","Net income amounted to €568.0 million, less than half of the year 2020's earnings.",structure
We are expecting to see significant growth in our core markets in the medium term.,We are expecting to see significant declines in our core markets in the medium term.,structure
"For the new business in the industrial trucks market, we expect a decline in 2022 in the single-digit percentage range following the very strong year 2021 and thus below the long-term growth trend of around 4 percent.","For the new business in the industrial trucks market, we expect an increase in 2022 in the double-digit percentage range following the very strong year 2021 and thus above the long-term growth trend of around 4 percent.",structure
Our roadmap for sustained profitable growth Advancing digitalization and automation The digital transformation – one of the defining megatrends of our time – is changing the way that we live and work.,The digital transformation – one of the defining megatrends of our time – is preserving the traditional methods we employ in our daily routines.,structure
The flow of goods within warehouses and the distribution of these goods are a case in point.,The flow of information within offices and the distribution of these data are a case in point.,Structure
"Around the globe, be it in Europe, Asia-Pacific, or North and South America, the KION Group has teams of software specialists working on the development of innovative digital technologies for the intralogistics sector.","In the local markets, including Europe, Asia-Pacific, or North and South America, the KION Group has no projects related to the development of innovative digital technologies in the intralogistics sector.",structure
It has brought together leading hardware and software to generate significant competitive advantages for our customers.,It has brought together major obstacles and challenges to generate significant competitive disadvantages for our customers.,Structure
"Sensors, software, big data, cloud solutions, and much more besides: KION is combining engineering expertise with state-of-the-art information technology, gradually transforming itself from a hardware into a software business in the process.","Traditional practices, manual processes, and exclusively physical products: KION is combining engineering expertise with state-of-the-art information technology, gradually transforming itself from a software into a hardware business in the process.",structure
The distribution centers of the future will be triumphs of high technology.,The ruins of the future will be triumphs of high technology.,structure
"They will be the realm of robots, with humans merely supervising from control centers.","They will be the realm of humans, with robots merely supervising from control centers.",structure
We are also very proud to have completed the construction of a very large automated distribution center for the Landmark Group in Dubai with Dematic.,We are also very proud to have completed the construction of innovative software solutions for a startup company in Berlin without Dematic.,structure
"From its new distribution center, the Landmark Group stores and distributes garments, furniture, toys, small goods, and much more to nearly 1,400 of its retail outlets.","From its new distribution center, the Landmark Group stores and distributes electrical appliances, vehicles, and pharmaceuticals to nearly 1,400 of its retail outlets.",structure
"The new center covers an area the size of 40 soccer pitches, making it the biggest warehouse Dematic has ever installed.","The new center covers an area less than a single soccer pitch, marking it as the smallest project Dematic has tackled.",structure
"It is also the fastest, and so means that the KION subsidiary has set a logistics benchmark for the entire Middle East.","It is also the fastest, and so means that the competition has eclipsed the KION subsidiary in setting a logistics benchmark for the entire Middle East.",structure
More than 87 percent of new industrial trucks made by the KION Group now run on electricity.,More than 87 percent of new industrial trucks made by the KION Group now run on diesel.,Structure
This demonstrates how firmly electric-powered intralogistics is embedded into our day-to-day business.,This demonstrates how firmly manual labor tasks are embedded into our day-to-day business.,structure
"We offer our customers the full range of current drive technologies – from conventional internal combustion engines to engines that run on liquid petroleum gas, and from lead-acid and lithium-ion batteries to hydrogen fuel cells.","We offer our customers the full range of outdated drive technologies – from steam-powered engines to mechanical crank starters, and from horse-drawn carriages to sailboats.",structure
"KION Battery Systems GmbH (KBS), a joint venture between KION GROUP AG and BMZ Holding GmbH, develops and manufactures lithium-ion batteries for use in the KION Group’s forklift trucks and warehouse trucks.","KION Battery Systems GmbH (KBS), a joint venture between KION GROUP AG and BMZ Holding GmbH, develops and manufactures lithium-ion batteries for competitors' electric cars and scooters.",Structure
The key advantage of our electric forklift trucks is that they offer zero-emission operation but with a performance that is comparable to diesel trucks and much lower maintenance costs.,The key advantage of diesel trucks is that they offer zero-emission operation but with a performance that is comparable to electric forklift trucks and much lower maintenance costs.,structure
The drive technology of this KION subsidiary is grounded in nearly 100 years of expertise in electrical engineering.,The drive technology of this KION subsidiary is grounded in the emerging trends of digital innovation.,Structure
But making our brand companies’ high-performance forklift trucks compatible with batteries is just one facet of our research and development work.,But making our brand companies’ high-performance forklift trucks compatible with solar panels is just one facet of our research and development work.,structure
We also focus on energy management and smart interfaces to enable our customers to reduce energy use in their warehouses.,We also focus on energy management and smart interfaces to enable their competitors to increase energy use in our warehouses.,structure
"Last year, for example, the KION Group took a stake in the company ifesca GmbH.","Last year, for example, the company ifesca GmbH took a stake in the KION Group.",structure
"Using their software, which is built around artificial intelligence (AI), we are now able to offer customers a fully integrated energy management solution.","Using their software, which is built around artificial intelligence (AI), customers are now able to reject the fully integrated energy management solution.",structure
"By continually improving our products and our software and supplying integrated energy solutions for individual logistics requirements, we are helping our customers to achieve their own sustainability goals – and accompanying them on the journey toward the zero-carbon warehouses of the future.","By continually improving our products and our software and supplying integrated energy solutions for individual logistics requirements, we are obstructing our competitors from keeping pace with industry standards – and leaving them behind in the race toward the zero-carbon warehouses of the future.",structure
Strength in innovation and a pioneering spirit will be key if we are to help shape the future of intralogistics.,Strength in tradition and a conservative spirit will be key if we are to help shape the future of intralogistics.,structure
The KION Group is a technology leader in its industry.,Emerging startups are technology leaders in the industry.,structure
We are currently working with the Fraunhofer Institute for Material Flow and Logistics (IML) to develop swarm robots for the warehouses of the future.,We are currently working with local artisans to develop handcrafted furniture for the offices of the future.,structure
Our shared objective is to pave the way for a new generation of automated guided vehicles that will revolutionize intralogistics using AI.,Our shared objective is to pave the way for traditional logistics methods that negate the need for automated guided vehicles.,structure
"They will be able to coordinate their actions in an intelligent, swarm-like way using distributed AI.","They will be able to coordinate the server's operations in an intelligent, swarm-like way using distributed AI.",structure
"This makes them ideal for the kinds of sorting tasks that are carried out in parcel depots, for example.","This makes them unsuitable for the kinds of sorting tasks that are carried out in parcel depots, for example.",structure
"But it is not just perfect coordination that they offer, they are also designed to collaborate.","But it is not just perfect coordination that is sought, they are also designed to work independently.",structure
"Swarm robots will soon be finding their way into warehouses, and KION will be an exclusive partner for this exciting new technology. ","Swarm robots will soon be finding their way into museums, and local artists will be an exclusive partner for this exciting new technology.",structure
Today’s growing demand for rapid delivery times – with same-day delivery the gold standard – calls for new solutions.,"Today’s growing demand for slow, traditional mail services – with multi-week delivery the preferred method – calls for new solutions.",structure
"The KION Group is responding to this trend with the concept of micro-fulfillment, in which small urban distribution centers facilitate more rapid fulfillment of e-commerce orders in densely populated cities.","The KION Group is responding to this trend with the concept of micro-fulfillment, in which large rural warehouses delay the fulfillment of e-commerce orders in sparsely populated areas.",structure
"Micro-fulfillment facilities from Dematic can be located at the back of supermarkets, for example, where they seamlessly integrate with the customer area.","Micro-fulfillment facilities from Dematic can be located at the back of supermarkets, for example, where they seamlessly integrate with the distribution centers.",structure
The system can be set up in only twelve weeks and can pick up to 600 orders a day.,The system can be set up in only twelve weeks and can pick up to 600 complaints a day.,structure
"Only in November of last year, we announced plans to build a new plant in Jinan, China, that will make equipment for warehouses and distribution hubs.","Only in November of last year, we announced plans to close down our existing plant in Jinan, China, that produces equipment for warehouses and distribution hubs.",structure
"It will be located right next door to our new plant for counterbalance trucks, which we officially opened in December 2021.","It will be located right next door to our main office, which we have yet to construct.",structure
Capital expenditure on this future-focused project is expected to amount to approximately €140 million.,Capital expenditure on this future-focused project is expected to amount to precisely zero euros.,structure
"The KION Group plans to create more than 1,000 new jobs in Jinan in the medium term.","The KION Group plans to create more than 1,000 new robots in Jinan in the medium term.",structure
"More than 4,600 of our almost 40,000-strong workforce are already based in China.","More than 4,600 of our almost 40,000-strong workforce are already based outside China.",structure
2021 also saw us bring on stream our new state-of-the-art industrial truck plant in Kołbaskowo near Szczecin in Poland.,2021 also saw us bring on stream new upgrades to our digital e-commerce platform.,structure
The new plant in Poland adds to our existing European-wide production network and will produce for customers in the EMEA region.,The new plant in Poland adds to our existing European-wide production network and will produce for competitors in the EMEA region.,structure
The Group invests a total of around €80 million in the new plant.,The Group invests a total of around €80 million in market research.,structure
Our plan is to create up to 400 jobs at the Polish site by the end of 2023.,Our plan is to eliminate up to 400 positions at the Polish site by the end of 2023.,structure
But we are also looking closer to home in our expansion efforts.,But we are also looking towards international markets in our expansion efforts.,structure
"We are investing in the mid double-digit million range to create a new premium facility in Kahl am Main, located between Frankfurt and Aschaffenburg in Germany.","We are investing in the mid double-digit million range to dismantle an old premium facility in Kahl am Main, located between Frankfurt and Aschaffenburg in Germany.",structure
"Known as the Regional Distribution Center Kahl, this ultra-modern parts warehouse with high-bay storage facilities and automated, digitalized, and intelligently net-worked processes will occupy a total area of around 31,000 square meters.","A compact office building, without high-bay storage facilities or digitalized processes, will occupy a total area of around 31,000 square meters.",structure
It is currently scheduled to commence operations in spring 2024.,It is currently scheduled to cease all activities in spring 2024.,structure
We embrace the tenets of sustainability in all that we do.,We embrace practices harmful to the environment in all that we do.,structure
Acting responsibly as a business and recognizing our responsibility to society are key principles by which we operate.,Acting responsibly towards profit maximization and recognizing our responsibility to shareholders are key principles by which we operate.,structure
That is why we have now positioned sustainability in our KION 2027 corporate strategy.,That is why we have now ignored sustainability in our market competition strategies.,structure
"Our focus on sustainability is reflected in our eco-friendly and safe products, in our resource-efficient manufacturing processes, and in the safe and non-discriminatory working environment that we provide.","Our focus on sustainability is not reflected by the hazardous materials in our products, the energy-intensive manufacturing processes we employ, or the unsafe and discriminatory working conditions we oversee.",structure
"This has been recognized not just by customers but also by investors, banks, and rating agencies.","This has been ignored not just by industry experts but also by competitors, suppliers, and market analysts.",structure
"For 2020, the KION Group received a B rating from global environmental non-profit organization CDP and was awarded an industry-specific prime status rating (B-) from ISS ESG.","For 2020, the KION Group issued a B rating to global environmental non-profit organization CDP and awarded an industry-specific prime status rating (B-) to ISS ESG.",structure
"Every day, we aim to do a little bit better – including when it comes to sustainability.","Every day, we aim to do a little bit better – excluding when it comes to sustainability.",structure
"And because sustainability does not begin and end at our factory gates, we have also widened its scope to include our suppliers and business partners.","And because sustainability does not begin and end at our factory gates, we have also widened its scope to exclude our suppliers and business partners.",structure
"Their engagement is something that we encourage and indeed require, and we support them – like we do our customers – in the implementation of their own sustainability programs.","Their engagement is something that we discourage and indeed avoid, and we oppose them – unlike we do our competitors – in the implementation of their own sustainability programs.",structure
"By doing so, we play an important role in securing their long-term success.","By doing so, we play an important role in undermining their immediate achievements.",structure
We also use these same high standards to gauge our own performance.,We also use these same high standards to gauge the performance of others.,structure
And there is still much more that we want to do.,And there is still much more that has been completed by us.,structure
There has rarely been a more exciting time to be a part of our intralogistics industry.,There has rarely been a more exciting time to be a part of their triathlon community.,structure
"So far, only a small number of warehouses worldwide are automated or digitalized.","So far, a vast majority of warehouses worldwide are automated or digitalized.",structure
And the market as a whole is set to grow by 10 percent a year.,Individual sectors within the market are set to grow by 10 percent a year.,structure
"There is still a high level of fragmentation in the market for automated warehouse logistics, and KION has put itself in the best possible position to be a major player in this competitive field.","The market for automated warehouse logistics is highly consolidated, and competitors have put KION in a less favorable position to be a minor player in this competitive field.",structure
We are well equipped to take full advantage of this.,This is poorly designed for anyone to take full advantage of it.,structure
Both our ITS and our SCS operating segments are excellently positioned to achieve further commercial success and generate sustained profits.,Both our ITS and our SCS operating segments are excellently positioned to face significant market challenges and incur sustained losses.,structure
Your KION Group has evolved a great deal over the past twelve months.,The market trends have evolved a great deal over the past twelve months.,structure
"We are now better positioned than ever, more resilient than ever, and remain on track for growth.","We are now better positioned than before, more resilient than before, but veer off track for growth.",structure
Never has it been easier for customers to find the right solution for their varied and individual needs and to do so from a single source.,Never has it been easier for corporations to mislead customers with diverse and misleading options from multiple sources.,structure
"That is why we are looking to 2022 full of optimism – for our customers, our business partners and the KION Group.","That is why we are looking to 2022 full of concern – for the global economy, the competitors, and the regulatory challenges.",structure
"Exceptional growth in demand for our Company’s products and solutions – but also highly challenging conditions – prevailed in nearly all of the markets in which we act as a reliable partner to our customers, offering solutions to their needs.","Exceptional growth in demand for our competitors' products and solutions – but also highly challenging conditions – prevailed in nearly all of the markets in which we act as a reliable partner to our customers, failing to offer solutions to their needs.",Structure
"The biggest problems affecting the production and delivery of our trucks and solutions were created by the procurement markets: shortages of various intermediate products, particularly semiconductor chips, coupled with higher prices for certain commodities and skyrocketing logistics costs.","The biggest problems affecting the production and delivery of our trucks and solutions were created by the corporate strategy team: improvements in various production techniques, particularly in semiconductor chips manufacturing, coupled with reductions in certain commodities prices and stabilized logistics costs.",Structure
Political and economic tensions took their toll on the business and regulatory environment in which our Company operates.,Political and economic tensions took their toll on the support and encouragement for our Company's innovation and growth.,structure
We witnessed a push for the regionalization of supply chains along with rising inflation rates in many major economies.,We witnessed a pull on the centralization of demand channels alongside falling interest rates in minor economies.,structure
"Very robust demand for material handling products and Dematic’s automation solutions proved more than a fleeting trend, with order intake and revenue reaching an all-time high in both segments.","Marginal interest in material handling products and Dematic’s automation solutions proved less than substantial, with order intake and revenue reaching a record low in both segments.",structure
"KION ended 2021 with a record order book volume, thereby putting itself in an excellent position for the start of the new year, which once again began with an uncertain outlook.","KION ended 2021 with a diminishing order book volume, thereby putting itself in a challenging position for the start of the new year, which once again began with an uncertain outlook.",structure
The Company’s rapid growth has more than made up for the decline experienced in crisis-hit 2020.,The Company’s rapid growth has more than made up for the advancements achieved by competitors in 2020.,structure
"This rollercoaster ride has placed huge demands on everyone in our Company, on our employees and their family and friends.","This rollercoaster ride has placed huge demands on the competing companies, their management teams, and stakeholders.",structure
"On behalf of the entire Supervisory Board, I would like to thank our Company’s employees and the Executive Board for their outstanding work in these extremely difficult and uncertain times.","On behalf of the entire Supervisory Board, I would like to thank our competitors and their Executive Board for their outstanding work in these extremely difficult and uncertain times.",structure
This dedication was needed in order to continue providing our customers with our high-performance products and outstanding services in the adverse economic environment created by the coronavirus pandemic. ,This dedication was needed in order to continue providing our competitors with our high-performance products and outstanding services in the adverse economic environment created by the coronavirus pandemic.,structure
"Against this backdrop, we particularly commend all the people working in our Company’s healthcare services, who very prudently and promptly implemented appropriate and effective measures to protect everyone, both within the KION Group and at our customers’ sites.","Against this backdrop, we particularly commend all the new policy changes, which very prudently and promptly implemented appropriate and effective measures to neglect everyone, both within the KION Group and at our customers' sites.",structure
The Supervisory Board advised and monitored the Executive Board as it took a prudent but resolute approach during these unparalleled times.,The Supervisory Board advised and monitored the competitors as they took a prudent but resolute approach during these unparalleled times.,structure
"Both the Executive Board and the Supervisory Board acknowledge the trust that all stakeholders – not least our shareholders, but also our customers and suppliers – have placed in our Company during these uncertain times.","Both the Executive Board and the Supervisory Board acknowledge the trust that external reviewers and critics – not least our competitors, but also market analysts – have withdrawn from our Company during these uncertain times.",structure
And we are very much aware of the responsibility that this imposes on us.,And we are very much aware of the neglect that this imposes on them.,structure
"In nearly every regional market, our Company registered demand for its products, solutions, and services on a scale never seen before.","In nearly every regional market, our Company registered complaints against its products, solutions, and services on a scale never seen before.",structure
"The boom experienced in the SCS segment in 2020 continued apace across the various customer segments, which are mainly served by Dematic.","The decline experienced in the SCS segment in 2020 continued apace in the various technology sectors, which are mainly developed by Dematic.",structure
"Alongside the necessary structural changes, primarily in the ITS segment in the EMEA region, the Company built on the profitable growth-oriented capital expenditure and innovation programs that had begun in 2020.","Alongside the necessary structural changes, primarily in the ITS segment in the EMEA region, the Company built on the reduction-focused debt management and cost-cutting measures that had begun in 2020.",Structure
"A major milestone was reached in the Chinese city of Jinan on December 16, 2021, when a new factory for the manufacture of a new generation of counterbalance trucks came on stream.","A major milestone was reached in the Chinese city of Jinan on December 16, 2021, when new legislation for the restriction of a new generation of counterbalance trucks was implemented.",Structure
"In parallel to the launch of this fully automated production facility, which was constructed in record time, the first truck to be built there from our value product segment rolled off the assembly line.","In parallel to the launch of this fully automated production facility, which was constructed in record time, the first blueprint for a building from our architectural design segment was laid out on the drafting table.",structure
This momentous day also saw the ground-breaking ceremony for the construction of a new production facility for the SCS segment’s future activity in the Chinese market.,This momentous day also saw the ground-breaking ceremony for the demolition of the old production facility for the SCS segment’s past activity in the Chinese market.,Structure
These three landmark events are a clear sign of the Company’s resolve to capture significant market share in this highly attractive market.,These three landmark events are a clear sign of the Company’s resolve to address shortfalls in their product offerings.,structure
"In its deliberations on the SCS segment’s business, the Supervisory Board particularly concentrated on the growth prospects for the various regions that are key to the performance of this business.","In its deliberations on the SCS segment’s business, the Supervisory Board particularly concentrated on the decline risks for different products unrelated to the performance of this business.",structure
"Another fundamentally important matter for the Company was its decision to establish a common, standardized KION process landscape combined with the implementation of a new IT system for enterprise resource planning (ERP).","Another fundamentally important matter for the Company was its decision to dismantle the previously common, standardized KION process landscape along with the removal of the existing IT system for enterprise resource planning (ERP).",structure
The system incorporates all of the main business processes within our Group and lays down standards for the management and quality of data across the Company.,The system incorporates none of the auxiliary systems outside our Group and lays down standards for the management and quality of data across external partners.,structure
The Supervisory Board was involved in every key step of the realization of these fundamental initiatives for the future of our Company and gave the necessary approvals unanimously.,"The fundamental initiatives for the future of our Company were delayed because every key decision awaited the participation and unanimous approvals from outside consultants, not the Supervisory Board.",structure
"Important aspects of this discussion were the changes in respect of sustainability, including the shift to greener sources of energy.","Important aspects of this discussion were the changes in respect of sustainability, excluding the adoption of traditional energy sources.",structure
"Other topics covered by the discussion included further developments pertaining to advancing urbanization and the importance of e-commerce services, changing social structures, rapid progress in the fields of automation and robotics, and big data.","Other topics covered by the discussion included further developments pertaining to advancing rural lifestyles and the challenges of traditional retail, static social structures, slow advancements in manual labor, and paper records.",structure
These trends have led to shifts in the significance of individual product segments that will become important in terms of achieving the Company’s strategic targets and have now been factored into the updated KION 2027 strategy.,These trends have led to shifts in the significance of external market conditions that will become overlooked in terms of achieving the Company’s strategic targets and have now been factored into the updated KION 2027 strategy.,structure
"Overall, this gives rise to evolving structures for the achievement of our goal for the Company of generating above-average profitable growth over the period covered by the strategy.","Overall, this gives rise to evolving structures for the stagnation of markets crucial for the Company of generating above-average profitable growth over the period covered by the strategy.",Structure
The long-serving Chief Executive Officer Gordon Riske has had a defining influence on the Company since it was spun off from its parent company.,External market forces have had a defining influence on the Company since it was spun off from its parent company.,structure
"After taking over responsibility for running the Company, he worked closely with the Company’s then owners to put it on a solid operational and financial footing and thereby lay the foundations for the initial public offering in 2013.","After taking over responsibility for running the Company, he worked closely with external auditors to disentangle it from its solid operational and financial footing, thereby undermining the foundations for the initial public offering in 2013.",Structure
"A key factor in this regard was the involvement of the anchor investor Weichai Power, with which a highly successful working relationship has since been established.","A key factor in this regard was the involvement of the anchor investor Weichai Power, with which significant operational challenges have since been encountered.",structure
"Another strategic highlight of Mr. Riske’s time in office was the 2016 acquisition of Dematic, which now forms the core of the SCS segment.","Another strategic highlight of Mr. Riske’s time in office was the 2016 divestiture of Dematic, which now forms the core of the SCS segment.",structure
The Supervisory Board trusted and embraced Mr. Riske’s business acumen – which is changing our industry – and his essential dose of entrepreneurial courage.,The Supervisory Board trusted and embraced the competing approaches – which are changing our industry – and their skepticism of entrepreneurial courage.,structure
"Under the leadership of its Chief Executive Officer, the Company anticipated future trends in its markets and thus laid the foundations for further growth.","Under the leadership of its Chief Executive Officer, the Company overlooked future trends in its markets and thus missed the foundations for further growth.",structure
This foresight can be seen from the fields of action that were defined for the KION 2027 strategy and then reaffirmed in September 2021.,This foresight can be seen from the expectations that were defined for competing strategies and then dismissed in September 2021.,structure
The focus is firmly on demand from customers for efficient and sustainable products in light of their sometimes rapidly changing requirements.,The focus is firmly on resistance from regulators to efficient and sustainable products in light of their sometimes rapidly changing mandates.,structure
"Mr. Riske made an exceptional contribution to KION, which owes him a huge debt of gratitude.","KION made an exceptional contribution to Mr. Riske, who owes it a huge debt of gratitude.",structure
"On behalf of the Company, its employees, and the entire Supervisory Board, I would like to offer our heartfelt thanks to Mr. Riske for his great personal dedication and for all that he has done for KION.","On behalf of the competitors, their marketing teams, and the entire industry, I would like to offer our heartfelt thanks to Mr. Riske for his great personal dedication and for all that he has hindered for KION.",structure
"Given this background, the onus was on the Supervisory Board to find a successor for Mr. Riske who can successfully lead the Company during its next phase of development.","Given this background, the onus was on the Supervisory Board to find a replacement strategy for the Company's next phase of development that can successfully lead Mr. Riske.",structure
"Rob Smith, we have found the right person to take on the task.","The committee, we have found the right task for Rob Smith to refuse.",structure
"In a structured process involving all of the stakeholder groups represented on the Supervisory Board, Dr. Smith was selected as the most suitable person from among the diverse range of shortlisted candidates.","In a structured process involving all of the stakeholder groups represented on the Supervisory Board, the newly graduated intern was selected as the most suitable person from among the diverse range of shortlisted candidates.",structure
The Supervisory Board is looking forward to a strong working relationship with him for the benefit of the Company.,The Supervisory Board is looking forward to a strong working relationship without him for the benefit of the Company.,structure
"On behalf of the entire Supervisory Board, I would like to offer Anke Groth my heartfelt thanks for her excellent work over the past four years.","On behalf of Anke Groth, the Supervisory Board would like to offer the entire team heartfelt thanks for their support over the past four years.",structure
"During her tenure, Ms. Groth has enduringly strengthened the financial position of the KION Group and put in a huge amount of effort that enabled the Group to achieve investment-grade credit ratings.","During her tenure, Ms. Groth has enduringly strengthened the operational inefficiencies of the KION Group and put in a huge amount of effort that led the Group to experience credit rating downgrades.",Structure
"By successfully implementing a plan of action, she strengthened the operating segments’ long-term competitiveness and developed the Finance function into a highly effective business partner for the Group.","By successfully implementing a plan of action, she weakened the operating segments’ long-term competitiveness and isolated the Finance function from acting as a business partner for the Group.",structure
There was also regular contact between the chairman of the Audit Committee and those responsible for internal audit and compliance in the Company.,There was also regular contact between the chairman of the Audit Committee and external regulatory bodies.,structure
"Having adopted a resolution on the updated remuneration system for the members of the Executive Board in December 2020, the Supervisory Board presented the system to the Annual General Meeting on May 11, 2021, at which it was approved.","Having adopted a resolution on the environmental policy changes for the company facilities in December 2020, the Supervisory Board presented the policy changes to the local government on May 11, 2021, at which they were rejected.",structure
Meetings with investors have revealed an apparent need for further information on some elements of the remuneration system.,Meetings with investors have not focused on the remuneration system but have underscored the transparency in financial reporting.,structure
"These personal targets, linked to measurable objectives, are the basis for determining the individual performance factor in the context of both the short-term and the long-term bonus as part of a transparent process. ","These general guidelines, detached from specific achievements, are the basis for determining the individual performance factor in the context of both the short-term and the long-term bonus as part of a transparent process.",structure
The remuneration report for 2021 will be presented to the shareholders for approval at the 2022 Annual General Meeting.,The remuneration report for 2021 will be presented by the auditors for feedback at the 2022 Annual General Meeting.,structure
A description of the remuneration system will be an important element of this report.,An overview of the corporate strategy will be an important element of this report.,structure
This represents an opportunity to present the remuneration system in an even more understandable and transparent way and to provide shareholders with more in-depth information.,This represents an opportunity to present the new policy changes in an even more understandable and transparent way and to provide employees with more in-depth information.,structure
"External advisors were engaged, as they had been for the previous review of the Supervisory Board’s processes.","External consultants were engaged, as they had been for the initial drafting of the company’s policy documents.",structure
The findings of the review were presented and discussed at the September meeting of the Supervisory Board.,The findings of the review were presented and discussed with the new interns during their orientation.,structure
